legacy_function,source_family,target_model,target_problem_or_service,adapter,test,status
Quadrupedal_ZeroFun_v2,SLIP_Model_Zoo,lmz.models.slip_quadruped.SLIPQuadrupedModel,lmz.problems.PeriodicOrbitProblem,LegacySLIPQuadrupedCodec,TestModels,adapter-contract implemented; full equation parity pending MATLAB fixture execution
NumericalContinuation1D_Quadruped_v2,SLIP_Model_Zoo,all,lmz.continuation.PseudoArclengthContinuation,LegacySphereContinuation,TestContinuation,replaced algorithmically
NumericalContinuation1D_Quadruped_Demo,2023 quadruped,slip_quadruped,PseudoArclengthContinuation,LegacySphereContinuation,TestContinuation,replaced headlessly
Section_3_Solution_Searching,2023 quadruped,slip_quadruped,RootSolver and MultiStartSearch,LegacySLIPQuadrupedCodec,TestController,migrated workflow contract
SLIP_PeriodicOrbit_Quad,quadruped copies,slip_quadruped,PeriodicOrbitView,LegacySLIPQuadrupedCodec,TestAnimationTimeline,migrated named-axis contract
ZeroFunc_BipedApex_offset,2022 jerboa,jerboa_biped,PeriodicOrbitProblem,model decision schema,TestModels,adapter-contract implemented; full equation parity pending
NumericalContinuation1D,2022 jerboa,jerboa_biped,PseudoArclengthContinuation,LegacySphereContinuation,TestContinuation,replaced algorithmically
ContinuationEqn,2022 jerboa,jerboa_biped,PseudoArclengthContinuation,LegacySphereContinuation,TestContinuation,replaced algorithmically
OutputCLASS,all source families,all,ProblemEvaluation and renderer contracts,none,TestModels,replaced data contract
ShowTrajectory_BipedalDemo,2022 jerboa,jerboa_biped,PeriodicOrbitView,none,TestAnimationTimeline,migrated contract
Quad_Load_ZeroFun_Transition_v2,2025 load,slip_quad_load,PeriodicOrbitProblem,LegacyQuadLoadCodec,TestModels,adapter-contract implemented; full equation parity pending
SimulateQuadLoadStrides,2025 load,slip_quad_load,model simulation service,LegacyQuadLoadCodec,TestSchemas,structured codec implemented; full stitching parity pending
fms_NStridesObjectiveFcn_Quad_Load_v2,2025 load,slip_quad_load,OptimizationSolver,LegacyQuadLoadCodec,TestModels,solver contract implemented; composable research terms pending
Section2_Single_Stride_Replication,2025 load,slip_quad_load,AppController,LegacyQuadLoadCodec,TestController,workflow routed through controller
Section3_Gait_Transition_Replication,2025 load,slip_quad_load,AppController,LegacyQuadLoadCodec,TestController,workflow routed through controller
SLIP_Quadruped_GUI,SLIP_Model_Zoo,slip_quadruped,LeggedModelZooApp,LegacyMatAdapter,TestController,core tabs/controller implemented; specialized panels pending
